0.969750	0.999999	3736.500000	3724.500000
0.965200	0.984800	2415.500000	2378.000000
0.968250	0.977050	1920.000000	1876.500000
0.968050	0.977900	1922.500000	1880.500000
0.986700	0.985500	3673.500000	3620.500000
0.986300	0.985100	3894.500000	3835.000000
0.980600	0.976600	1952.000000	1906.500000
0.985350	0.984300	3714.000000	3659.500000
0.986750	0.988600	4692.000000	4638.500000
0.018550	0.020600	1978.500000	41.000000
0.983400	0.984350	2930.500000	2884.500000
0.976600	0.959750	1261.500000	1210.500000
0.989500	0.989150	4208.500000	4160.500000
0.973800	0.964600	1171.500000	1131.500000
