	SNP	FREQ
18	C_T_241	0.9716
19	C_T_906	0.0112
20	C_T_1059	0.9816
21	C_T_3037	0.9607
22	C_T_5392	0.0103
23	C_CT_6696	0.0475
24	G_GT_7889	0.0102
25	G_GT_11179	0.0107
26	C_CT_12008	0.0101
27	C_T_13541	0.0107
28	C_T_14408	0.9816
29	G_T_15118	0.0115
30	A_C_15139	0.0176
31	G_T_15150	0.0273
32	G_GT_15965	0.0311
33	G_GT_17019	0.0133
34	G_GT_18368	0.0203
35	C_CA_19011	0.0101
36	C_CT_19983	0.0359
37	G_GT_21569	0.0119
38	C_T_21575	0.0142
39	A_G_23403	0.9781
40	C_T_24023	0.0106
41	G_T_25563	0.9863
42	G_GT_26257	0.0119
43	C_CT_28214	0.0135
44	C_CA_29386	0.0103
