	SNP	FREQ
0	G_GA_1135	0.0155
1	G_A_1730	0.0102
2	T_TA_1813	0.0138
3	C_T_6696	0.0118
4	C_CT_6696	0.0833
5	G_GT_7889	0.0123
6	C_T_8782	0.9241
7	A_T_9168	0.01
8	C_CT_10605	0.0121
9	C_CA_10619	0.0113
10	C_CA_11812	0.0129
11	C_CT_14625	0.0103
12	G_T_15118	0.0104
13	G_T_15131	0.0104
14	T_G_15137	0.0129
15	A_C_15139	0.0287
16	C_A_15141	0.0183
17	G_T_15150	0.0268
18	T_G_15167	0.0119
19	T_C_15909	0.01
20	G_GT_15965	0.0312
21	G_A_16381	0.8856
22	G_GT_17019	0.0114
23	T_C_17877	0.9017
24	G_GT_18368	0.0307
25	C_T_18555	0.0389
26	C_CT_19983	0.0267
27	C_T_20316	0.9
28	G_GT_20908	0.0101
29	G_GT_21569	0.0104
30	C_CT_22062	0.0125
31	T_A_24475	0.0102
32	G_T_25500	0.9638
33	G_GT_26654	0.0105
34	A_AT_27691	0.0173
35	T_C_28144	0.9965
36	C_CT_28214	0.0223
37	G_A_28878	0.9553
38	C_CA_29386	0.0114
39	G_A_29742	0.9858
40	C_T_29774	0.0287
41	A_G_29818	0.0193
