	SNP	FREQ
0	C_T_241	0.9719
1	C_T_313	0.9768
2	G_GA_1135	0.0142
3	T_A_2330	0.0119
4	C_T_3037	0.9796
5	C_CT_6696	0.0604
6	CT_C_7262	0.01
7	G_GT_8742	0.013
8	C_CT_10386	0.0133
9	C_T_14408	0.9891
10	T_G_15137	0.0157
11	A_C_15139	0.021
12	G_T_15150	0.0263
13	T_G_15167	0.0138
14	G_GT_15965	0.0528
15	C_T_16255	0.0105
16	G_GT_18368	0.0337
17	G_A_19406	0.0157
18	C_CT_19983	0.0228
19	A_AT_21270	0.0139
20	T_C_22322	0.0167
21	T_C_22384	0.0167
22	C_G_22513	0.0167
23	G_GT_22583	0.0105
24	A_G_23403	0.9918
25	C_T_25777	0.0117
26	C_CT_28214	0.0212
27	G_A_28881	0.9817
28	G_A_28882	0.9863
29	G_C_28883	0.9772
30	C_T_29743	0.013
31	C_T_29769	0.013
32	T_A_29772	0.013
33	G_GT_29810	0.013
